Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice
1,60,65,8450,7,5,2003,2003,196,856,1710,2,1,3,1,8,0,2003,2,548,0,61,2,2008,208500
2,20,80,9600,6,8,1976,1976,0,1262,1262,2,0,3,1,6,1,1976,2,460,298,0,5,2007,181500
3,60,68,11250,7,5,2001,2002,162,920,1786,2,1,3,1,6,1,2001,2,608,0,42,9,2008,223500
4,70,60,9550,7,5,1915,1970,0,756,1717,1,0,3,1,7,1,1998,3,642,0,35,2,2006,140000
5,60,84,14260,8,5,2000,2000,350,1145,2198,2,1,4,1,9,1,2000,3,836,192,84,12,2008,250000
6,50,85,14115,5,5,1993,1995,0,796,1362,1,1,1,1,5,0,1993,2,480,40,30,10,2009,143000
7,20,75,10084,8,5,2004,2005,186,1686,1694,2,0,3,1,7,1,2004,2,636,255,57,8,2007,307000
8,60,NA,10382,7,6,1973,1973,240,1107,2090,2,1,3,1,7,2,1973,2,484,235,204,11,2009,200000
9,50,51,6120,7,5,1931,1950,0,952,1774,2,0,2,2,8,2,1931,2,468,90,0,4,2008,129900
10,190,50,7420,5,6,1939,1950,0,991,1077,1,0,2,2,5,2,1939,1,205,0,4,1,2008,118000
11,20,70,11200,5,5,1965,1965,0,1040,1040,1,0,3,1,5,0,1965,1,384,0,0,2,2008,129500
12,60,85,11924,9,5,2005,2006,286,1175,2324,3,0,4,1,11,2,2005,3,736,147,21,7,2006,345000
13,20,NA,12968,5,6,1962,1962,0,912,912,1,0,2,1,4,0,1962,1,352,140,0,9,2008,144000
14,20,91,10652,7,5,2006,2007,306,1494,1494,2,0,3,1,7,1,2006,3,840,160,33,8,2007,279500
15,20,NA,10920,6,5,1960,1960,212,1253,1253,1,1,2,1,5,1,1960,1,352,0,213,5,2008,157000
16,45,51,6120,7,8,1929,2001,0,832,854,1,0,2,1,5,0,1991,2,576,48,112,7,2007,132000
17,20,NA,11241,6,7,1970,1970,180,1004,1004,1,0,2,1,5,1,1970,2,480,0,0,3,2010,149000
18,90,72,10791,4,5,1967,1967,0,0,1296,2,0,2,2,6,0,1967,2,516,0,0,10,2006,90000
19,20,66,13695,5,5,2004,2004,0,1114,1114,1,1,3,1,6,0,2004,2,576,0,102,6,2008,159000
20,20,70,7560,5,6,1958,1965,0,1029,1339,1,0,3,1,6,0,1958,1,294,0,0,5,2009,139000
21,60,101,14215,8,5,2005,2006,380,1158,2376,3,1,4,1,9,1,2005,3,853,240,154,11,2006,325300
22,45,57,7449,7,7,1930,1950,0,637,1108,1,0,3,1,6,1,1930,1,280,0,0,6,2007,139400
23,20,75,9742,8,5,2002,2002,281,1777,1795,2,0,3,1,7,1,2002,2,534,171,159,9,2008,230000
24,120,44,4224,5,7,1976,1976,0,1040,1060,1,0,3,1,6,1,1976,2,572,100,110,6,2007,129900
25,20,NA,8246,5,8,1968,2001,0,1060,1060,1,0,3,1,6,1,1968,1,270,406,90,5,2010,154000
26,20,110,14230,8,5,2007,2007,640,1566,1600,2,0,3,1,7,1,2007,3,890,0,56,7,2009,256300
27,20,60,7200,5,7,1951,2000,0,900,900,1,0,3,1,5,0,2005,2,576,222,32,5,2010,134800
28,20,98,11478,8,5,2007,2008,200,1704,1704,2,0,3,1,7,1,2008,3,772,0,50,5,2010,306000
29,20,47,16321,5,6,1957,1997,0,1484,1600,1,0,2,1,6,2,1957,1,319,288,258,12,2006,207500
30,30,60,6324,4,6,1927,1950,0,520,520,1,0,1,1,4,0,1920,1,240,49,0,5,2008,68500
31,70,50,8500,4,4,1920,1950,0,649,1317,1,0,3,1,6,0,1920,1,250,0,54,7,2008,40000
32,20,NA,8544,5,6,1966,2006,0,1228,1228,1,1,3,1,6,0,1966,1,271,0,65,6,2008,149350
33,20,85,11049,8,5,2007,2007,0,1234,1234,2,0,3,1,7,0,2007,2,484,0,30,1,2008,179900
34,20,70,10552,5,5,1959,1959,0,1398,1700,1,1,4,1,6,1,1959,2,447,0,38,4,2010,165500
35,120,60,7313,9,5,2005,2005,246,1561,1561,2,0,2,1,6,1,2005,2,556,203,47,8,2007,277500
36,60,108,13418,8,5,2004,2005,132,1117,2452,3,1,4,1,9,1,2004,3,691,113,32,9,2006,309000
37,20,112,10859,5,5,1994,1995,0,1097,1097,1,1,3,1,6,0,1995,2,672,392,64,6,2009,145000
38,20,74,8532,5,6,1954,1990,650,1297,1297,1,0,3,1,5,1,1954,2,498,0,0,10,2009,153000
39,20,68,7922,5,7,1953,2007,0,1057,1057,1,0,3,1,5,0,1953,1,246,0,52,1,2010,109000
40,90,65,6040,4,5,1955,1955,0,0,1152,2,0,2,2,6,0,NA,0,0,0,0,6,2008,82000
41,20,84,8658,6,5,1965,1965,101,1088,1324,2,0,3,1,6,1,1965,2,440,0,138,12,2006,160000
42,20,115,16905,5,6,1959,1959,0,1350,1328,1,1,2,1,5,2,1959,1,308,0,104,7,2007,170000
43,85,NA,9180,5,7,1983,1983,0,840,884,1,0,2,1,5,0,1983,2,504,240,0,12,2007,144000
44,20,NA,9200,5,6,1975,1980,0,938,938,1,0,3,1,5,0,1977,1,308,145,0,7,2008,130250
45,20,70,7945,5,6,1959,1959,0,1150,1150,1,0,3,1,6,0,1959,1,300,0,0,5,2006,141000
46,120,61,7658,9,5,2005,2005,412,1752,1752,2,0,2,1,6,1,2005,2,576,196,82,2,2010,319900
47,50,48,12822,7,5,2003,2003,0,1434,2149,1,1,1,1,6,1,2003,2,670,168,43,8,2009,239686
48,20,84,11096,8,5,2006,2006,0,1656,1656,2,0,3,1,7,0,2006,3,826,0,146,7,2007,249700
49,190,33,4456,4,5,1920,2008,0,736,1452,2,0,2,3,8,0,NA,0,0,0,0,6,2009,113000
50,20,66,7742,5,7,1966,1966,0,955,955,1,0,3,1,6,0,1966,1,386,0,0,1,2007,127000
51,60,NA,13869,6,6,1997,1997,0,794,1470,2,0,3,1,6,0,1997,2,388,0,75,7,2007,177000
52,50,52,6240,6,6,1934,1950,0,816,1176,1,0,3,1,6,1,1985,2,528,112,0,9,2006,114500
53,90,110,8472,5,5,1963,1963,0,816,816,1,0,2,1,5,0,1963,2,516,106,0,5,2010,110000
54,20,68,50271,9,5,1981,1987,0,1842,1842,0,1,0,1,5,1,1981,3,894,857,72,11,2006,385000
55,80,60,7134,5,5,1955,1955,0,384,1360,1,0,3,1,6,1,1962,2,572,0,50,2,2007,130000
56,20,100,10175,6,5,1964,1964,272,1425,1425,2,0,3,1,7,1,1964,2,576,0,0,7,2008,180500
57,160,24,2645,8,5,1999,2000,456,970,1739,2,1,3,1,7,0,1999,2,480,115,0,8,2009,172500
58,60,89,11645,7,5,2004,2004,0,860,1720,2,1,3,1,7,0,2004,2,565,0,70,8,2006,196500
59,60,66,13682,10,5,2006,2006,1031,1410,2945,3,1,3,1,10,1,2006,3,641,192,0,10,2006,438780
60,20,60,7200,5,7,1972,1972,0,780,780,1,0,2,1,4,0,1973,1,352,196,0,1,2008,124900
61,20,63,13072,6,5,2004,2004,0,1158,1158,1,1,3,1,5,0,2006,2,576,0,50,5,2006,158000
62,75,60,7200,5,7,1920,1996,0,530,1111,1,0,3,1,6,0,1935,1,288,0,0,3,2007,101000
63,120,44,6442,8,5,2006,2006,178,1370,1370,2,0,2,1,6,1,2006,2,484,120,49,10,2007,202500
64,70,50,10300,7,6,1921,1950,0,576,1710,2,0,3,1,9,0,1990,2,480,12,11,4,2010,140000
65,60,NA,9375,7,5,1997,1998,573,1057,2034,2,1,3,1,8,0,1998,2,645,576,36,2,2009,219500
66,60,76,9591,8,5,2004,2005,344,1143,2473,2,1,4,1,9,1,2004,3,852,192,151,10,2007,317000
67,20,NA,19900,7,5,1970,1989,287,1947,2207,2,0,3,1,7,1,1970,2,576,301,0,7,2010,180000
68,20,72,10665,7,5,2003,2003,167,1453,1479,2,0,3,1,7,0,2003,2,558,144,29,6,2007,226000
69,30,47,4608,4,6,1945,1950,0,747,747,1,0,2,1,4,0,1945,1,220,0,0,6,2010,80000
70,50,81,15593,7,4,1953,1953,0,1304,2287,2,0,3,1,7,1,1953,2,667,0,21,7,2006,225000
71,20,95,13651,7,6,1973,1973,1115,2223,2223,2,0,3,1,8,2,1973,2,516,300,0,2,2007,244000
72,20,69,7599,4,6,1982,2006,0,845,845,1,0,2,1,4,0,1987,2,360,0,0,6,2007,129500
73,60,74,10141,7,5,1998,1998,40,832,1718,2,1,3,1,7,1,1998,2,427,0,94,12,2009,185000
74,20,85,10200,5,7,1954,2003,104,1086,1086,1,0,3,1,6,0,1989,2,490,0,0,5,2010,144900
75,50,60,5790,3,6,1915,1950,0,840,1605,2,0,3,2,8,0,1915,1,379,0,0,5,2010,107400
76,180,21,1596,4,5,1973,1973,0,462,988,1,0,2,1,5,0,1973,1,297,120,101,11,2009,91000
77,20,NA,8475,4,7,1956,1956,0,952,952,1,0,2,1,4,0,1956,1,283,0,0,4,2008,135750
78,50,50,8635,5,5,1948,2001,0,672,1285,1,0,2,1,6,0,1948,1,240,0,0,1,2008,127000
79,90,72,10778,4,5,1968,1968,0,1768,1768,2,0,4,2,8,0,NA,0,0,0,0,4,2010,136500
80,50,60,10440,5,6,1910,1981,0,440,1230,1,1,2,1,5,0,1966,2,440,74,0,5,2009,110000
81,60,100,13000,6,6,1968,1968,576,896,2142,2,1,4,1,8,1,1968,1,509,0,72,6,2009,193500
82,120,32,4500,6,5,1998,1998,443,1237,1337,2,0,2,1,5,0,1998,2,405,0,199,3,2006,153500
83,20,78,10206,8,5,2007,2007,468,1563,1563,2,0,3,1,6,1,2007,3,758,144,99,10,2008,245000
